Oscilloscope data. 
Time step = 80,00 nS
Voltage step = 31,25 mV
Zero level = 95

N 	Min. 	Max.	T min 	T max.
313	159	160	1	1
314	159	160	1	1
315	159	161	1	1
316	159	161	1	1
317	159	161	1	1
318	160	161	1	1
319	160	161	1	1
320	160	161	1	1
321	160	161	1	1
322	160	161	1	1
323	160	161	1	1
324	160	161	1	1
325	161	161	1	1
326	160	161	1	1
327	161	161	1	1
328	161	161	1	1
329	161	161	1	1
330	161	161	1	1
331	161	161	1	1
332	161	162	1	1
333	161	162	1	1
334	161	162	1	1
335	162	162	1	1
336	162	163	1	1
337	162	163	1	1
338	162	163	1	1
339	162	163	1	1
340	162	163	1	1
341	161	163	1	1
342	162	163	1	1
343	163	163	1	1
344	162	163	1	1
345	162	163	1	1
346	163	164	1	1
347	163	163	1	1
348	163	164	1	1
349	163	164	1	1
350	163	164	1	1
351	163	164	1	1
352	163	164	1	1
353	164	164	1	1
354	164	164	1	1
355	164	165	1	1
356	164	164	1	1
357	164	164	1	1
358	164	165	1	1
359	164	165	1	1
360	164	165	1	1
361	164	165	1	1
362	164	165	1	1
363	164	165	1	1
364	164	165	1	1
365	165	165	1	1
366	165	165	1	1
367	165	165	1	1
368	165	165	1	1
369	165	166	1	1
370	165	165	1	1
371	165	165	1	1
372	165	165	1	1
373	165	165	1	1
374	165	166	1	1
375	166	166	1	1
376	165	166	1	1
377	165	166	1	1
378	166	166	1	1
379	165	166	1	1
380	166	166	1	1
381	166	166	1	1
382	166	166	1	1
383	165	166	1	1
384	166	166	1	1
385	166	167	1	1
386	166	166	1	1
387	166	166	1	1
388	166	166	1	1
389	166	166	1	1
390	166	166	1	1
391	166	166	1	1
392	166	166	1	1
393	166	167	1	1
394	166	167	1	1
395	166	167	1	1
396	166	167	1	1
397	166	167	1	1
398	166	167	1	1
399	166	167	1	1
400	166	167	1	1
401	166	167	1	1
402	166	167	1	1
403	166	167	1	1
404	166	167	1	1
405	166	167	1	1
406	166	167	1	1
407	166	167	1	1
408	166	167	1	1
409	166	167	1	1
410	166	167	1	1
411	167	167	1	1
412	166	167	1	1
413	166	167	1	1
414	166	167	1	1
415	166	167	1	1
416	166	167	1	1
417	166	167	1	1
418	166	167	1	1
419	167	167	1	1
420	166	167	1	1
421	166	167	1	1
422	166	167	1	1
423	166	167	1	1
424	166	167	1	1
425	166	167	1	1
426	166	167	1	1
427	166	167	1	1
428	166	167	1	1
429	166	167	1	1
430	166	167	1	1
431	166	166	1	1
432	166	166	1	1
433	166	166	1	1
434	166	166	1	1
435	166	166	1	1
436	166	167	1	1
437	166	166	1	1
438	166	166	1	1
439	166	166	1	1
440	165	166	1	1
441	166	166	1	1
442	165	166	1	1
443	166	166	1	1
444	166	166	1	1
445	165	166	1	1
446	165	166	1	1
447	165	166	1	1
448	165	166	1	1
449	165	166	1	1
450	165	166	1	1
451	165	166	1	1
452	165	165	1	1
453	165	165	1	1
454	165	165	1	1
455	165	165	1	1
456	165	165	1	1
457	165	165	1	1
458	165	165	1	1
459	165	165	1	1
460	164	165	1	1
461	164	165	1	1
462	164	165	1	1
463	164	165	1	1
464	164	165	1	1
465	164	165	1	1
466	164	165	1	1
467	164	165	1	1
468	164	165	1	1
469	164	165	1	1
470	163	164	1	1
471	163	164	1	1
472	163	164	1	1
473	163	164	1	1
474	163	164	1	1
475	163	164	1	1
476	163	164	1	1
477	163	163	1	1
478	163	163	1	1
479	163	163	1	1
480	162	163	1	1
481	163	163	1	1
482	162	163	1	1
483	162	163	1	1
484	162	163	1	1
